field,value
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,345
formato,23
collezion,"COMMENTARIO TEOLOGICO DEL N.T.-SUPPLEMENTI, N. 1/S"
note_sp,FRONT. AGG.
cod_isbn,88-3940431-7
data_crea,2000-01-19 00:00:00
n_scheda,23115
segnatura,BL
noName,"6,XLIII/11,2/II"
cod_sez,BL
n_s_sez,6
autore,"OBERLINNER, LORENZ"
titolo,COMMENTARIO TEOLOGICO AL NUOVO TESTAMENTO. LE LETTERE PASTORALI; T.I I LA SECONDA LETTERA A TIMOTEO. TESTO GRECO E TRADUZIONE; COMMENTO D I LORENZ OBERLINNER
collabor,"RONCHI F.,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,275
formato,22.5
collezion,"COMMENTARIO TEOLOGICO DEL NUOVO TESTAMENTO, V. 11,"
cod_isbn,88-394-0573-9
data_crea,2000-01-19 00:00:00
n_scheda,23114
segnatura,BL
noName,"6,XLIII/3,II/1"
cod_sez,BL
n_s_sez,6
autore,"SCHURMANN, HEINZ"
titolo,"COMMENTARIO TEOLOGICO DEL NUOVO TESTAMENTO. IL VANGELO DI LUCA; III, PARTE SECONDA, T. PRIMO. TESTO GRECO E TRADUZIONE; COMMENTO AI CAPP . 9,51 - II,54"
collabor,"GATTI V.,TRAD. SANCASSANO M.L.,ED."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,515
formato,22.5
collezion,"COMMENTARIO TEOLOGICO DEL NUOVO TESTAMENTO, V. III"
note_sp,"COLL. INTERNA.LE PUBBL. IN LINGUA ITALIANA,FRANCES"
cod_isbn,88-394-0560-7
data_crea,2000-01-19 00:00:00
n_scheda,23113
segnatura,LE
noName,"10,203"
cod_sez,LE
n_s_sez,10
autore,"IBSEN, HENRIK"
luogo_pub,MILANO
editore,FR.LLI TREVES
data_pub,1911
volume,2025-01-01 00:00:00
pagine,"4 F.P.,98"
formato,19.5
note_sp,TEATRO STRANIERO
data_crea,2000-01-18 00:00:00
n_scheda,23112
segnatura,LE
noName,"6,26"
cod_sez,LE
n_s_sez,6
autore,"HEBBEL, FRIEDRICH"
collabor,"SLATAPER S.,TRAD."
luogo_pub,LANCIANO
editore,R. CARABBA
data_pub,1919
volume,2025-01-01 00:00:00
pagine,135
formato,19.5
data_crea,2000-01-18 00:00:00
n_scheda,23111
segnatura,LE
noName,"6,25"
cod_sez,LE
n_s_sez,6
autore,"BURGER, LISBETH"
collabor,SESINI S. T. / RICHTER C. [TRAD. A CURA DI]
luogo_pub,ROMA
editore,S.A.L.E.S.
data_pub,1943
volume,2025-01-01 00:00:00
pagine,272
formato,20
data_crea,2000-01-18 00:00:00
n_scheda,23110
segnatura,LE
noName,"6,24"
cod_sez,LE
n_s_sez,6
autore,"WOLFF, C. F."
collabor,"CIRAOLO C.,TRAD."
edizione,XIII
luogo_pub,BOLOGNA
editore,CAPPELLI
data_pub,1955
volume,2025-01-01 00:00:00
pagine,299
illustr,"ILL. [FOT.,FUORI TESTO]"
formato,19.5
note_sp,"COLLANA D'ORO ""LE ALPI"""
data_crea,2000-01-18 00:00:00
n_scheda,23109
segnatura,LE
noName,"6,23"
cod_sez,LE
n_s_sez,6
autore,"NIETZSCHE, FRIEDRICH"
collabor,"CIAMPOLI D.,TRAD."
edizione,I
luogo_pub,MILANO
editore,MONANNI
data_pub,1927
volume,2025-01-01 00:00:00
pagine,462
formato,21
data_crea,2000-01-18 00:00:00
n_scheda,23108
segnatura,LE
noName,"6,19"
cod_sez,LE
n_s_sez,6
autore,"ECKERMANN, JOHANN PETER"
collabor,"GNOLI T.,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1947
volume,2025-01-01 00:00:00
pagine,"XXXVII,714"
formato,20
note_sp,MNEMOSYNE/1
data_crea,2000-01-18 00:00:00
n_scheda,23107
segnatura,LE
noName,"6,18"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
titolo,GOETHE A COLLOQUIO.CONVERSAZIONI SCELTE E TRADOTTE DA BARBARA ALLASO N
collabor,"ALLASON B.,CURAT."
luogo_pub,TORINO
editore,F. DE SILVA
data_pub,1947
volume,2025-01-01 00:00:00
pagine,"XVI,366"
formato,21
note_sp,"MEMORIE, VIAGGI E CARTEGGI"
data_crea,2000-01-18 00:00:00
n_scheda,23106
segnatura,LE
noName,"6,16"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"CERONI R.,TRAD."
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1898
volume,2025-01-01 00:00:00
pagine,106
formato,16
note_sp,IN TESTA FRONT.: BIBLIOTECA UNIVERSALE
data_crea,2000-01-18 00:00:00
n_scheda,23105
segnatura,LE
noName,"6,15"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"SCALVINI G.,TRAD."
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1896
volume,2025-01-01 00:00:00
pagine,102
formato,16
note_sp,IN TESTA FRONT.: BIBLIOTECA UNIVERSALE
data_crea,2000-01-18 00:00:00
n_scheda,23104
segnatura,LE
noName,"6,14"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"COURTHEOUX A.,TRAD."
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1892
volume,2025-01-01 00:00:00
pagine,196
formato,16
note_sp,IN TESTA FRONT.: BIBLIOTECA UNIVERSALE
data_crea,2000-01-18 00:00:00
n_scheda,23103
segnatura,LE
noName,"0,74"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
collabor,"CARAFA A.,CURAT."
edizione,III
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1942
volume,2025-01-01 00:00:00
pagine,"LXVII,253"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-18 00:00:00
n_scheda,23102
segnatura,LE
noName,"0,73"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
titolo,"LE ELEGIE, LE EPISTOLE E GLI EPIGRAMMI VENEZIANI. TESTO, VERSIONE E COMMENTO A CURA DI GUIDO MANACORDA"
collabor,"MANACORDA G.,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1946
volume,2025-01-01 00:00:00
pagine,"XXI,273"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-18 00:00:00
n_scheda,23101
segnatura,LE
noName,"0,72"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
titolo,IL VIAGGIO IN ITALIA (BRANI SCELTI). SAGGIO DELLE ELEGIE ROMANE E DE GLI EPIGRAMMI VENEZIANI I CULTURA CLASSICA
collabor,"TIBILETTI B.,TRAD. / AVANCINI A.,CURAT."
luogo_pub,MILANO
editore,VALLARDI
data_pub,1924 [?]
volume,2025-01-01 00:00:00
pagine,291
formato,16.5
note_sp,CON STUDIO BIOGRAFICO DELL'AUTORE E NOTE; IN TESTA
data_crea,2000-01-18 00:00:00
n_scheda,23100
segnatura,LE
noName,"6,10"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,PARODI E. / MOHR ARNALDO DE [TRAD. A CURA DI]
luogo_pub,MILANO
editore,FR.LLI TREVES
data_pub,1925
volume,2025-01-01 00:00:00
pagine,"XII,273"
formato,16.5
note_sp,BIBLIOTECA AMENA
data_crea,2000-01-18 00:00:00
n_scheda,23099
segnatura,LE
noName,"6,9"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"MONTINARI M.,CURAT."
edizione,I
luogo_pub,TORINO
editore,BORINGHIERI
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,307
formato,20
note_sp,ENCICLOPEDIA DI AUTORI CLASSICI
data_crea,2000-01-18 00:00:00
n_scheda,23098
segnatura,LE
noName,"6,8"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
titolo,"IL FAUST. VERSIONE INTEGRA DALL'EDIZIONE CRITICA DI WEIMAR, CON INTR O DUZIONE E COMMENTO A CURA DI GUIDO MANACORDA"
collabor,"MANACORDA G.,CURAT."
edizione,V
luogo_pub,MILANO
editore,MONDADORI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"XLVI,753"
illustr,TAV.
formato,21
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,2000-01-18 00:00:00
n_scheda,23097
segnatura,LE
noName,"6,6"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"SPAINI A.,TRAD."
edizione,III
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"XVII,138"
formato,21.5
note_sp,OP. DOPPIA
data_crea,2000-01-17 00:00:00
n_scheda,23096
segnatura,LE
noName,"6,5"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"SPAINI A.,TRAD."
edizione,III
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"XVII,138"
formato,21.5
note_sp,NARRATORI STRANIERI TRADOTTI
data_crea,2000-01-17 00:00:00
n_scheda,23095
segnatura,LE
noName,"6/4,II"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,PISANESCHI R. / SPAINI A. [ A CURA DI]
luogo_pub,BARI
editore,LATERZA & FIGLI
data_pub,1915
volume,2025-02-02 00:00:00
pagine,251
formato,21.5
note_sp,SCRITTORI STRANIERI
data_crea,2000-01-17 00:00:00
n_scheda,23094
segnatura,LE
noName,"6/4,I (I-II)"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,PISANESCHI R. / SPAINI A. [ A CURA DI]
luogo_pub,BARI
editore,LATERZA & FIGLI
data_pub,1913
volume,2025-02-01 00:00:00
pagine,371
formato,21.5
note_sp,SCRITTORI STRANIERI
data_crea,2000-01-17 00:00:00
n_scheda,23093
segnatura,LE
noName,"6,3"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"MAFFEI ANDREA,TRAD."
luogo_pub,FIRENZE
editore,SUCCESSORI LE MONNIER
data_pub,1878
volume,2025-01-01 00:00:00
pagine,"LXXXII,316 / III,435"
formato,17.5
note_sp,DUE VOLL. IN UNO
data_crea,2000-01-17 00:00:00
n_scheda,23092
segnatura,LE
noName,"6,2"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
titolo,I DOLORI DEL GIOVANE WERTHER / LA MISSIONE TEATRALE DI GUGLIELMO MEI STER / LE AFFINITA` ELETTIVE R IL TERZO
collabor,BORGESE G.A. / BENCO S. [TRAD. A CURA DI]
luogo_pub,MILANO
editore,MONDADORI
data_pub,1950
volume,2025-01-01 00:00:00
pagine,857
illustr,ANT. [CON F. DI GUARDIA]
formato,19.5
note_sp,"III EDIZ. PER IL PRIMO ROMANZO, IV EDIZ. PER IL SE"
data_crea,2000-01-17 00:00:00
n_scheda,23091
segnatura,LE
noName,"6/1,II"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"ERRANTE V.,TRAD."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1942
volume,2025-02-02 00:00:00
pagine,"XIV,476"
formato,21
data_crea,2000-01-17 00:00:00
n_scheda,23090
segnatura,LE
noName,"6/1,I (I-II)"
cod_sez,LE
n_s_sez,6
autore,"GOETHE, J. W."
collabor,"ERRANTE V.,TRAD."
edizione,II
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1942
volume,2025-02-01 00:00:00
pagine,"X,310"
formato,21
data_crea,2000-01-17 00:00:00
n_scheda,23089
segnatura,LE
noName,"5,424"
cod_sez,LE
n_s_sez,5
autore,"HEMINGWAY, ERNEST"
collabor,BERTOLUCCI A. / ROSSI A. [TRAD. A CURA DI]
edizione,I
luogo_pub,MILANO/TORINO
editore,MONDADORI/EINAUDI
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,254
formato,18.5
note_sp,I RECORD MONDADORI; ED. SU LICENZA DI G. EINAUDI E
data_crea,2000-01-17 00:00:00
n_scheda,23088
segnatura,LE
noName,"0,80"
cod_sez,LE
n_s_sez,0
autore,"KEATS, JOHN"
titolo,"IPERIONE, ODI E SONETTI. VERSIONE CON TESTO A FRONTE, INTRODUZIONE E NOTE A CURA DI RAFFAELLO PICCOLI"
collabor,"PICCOLI R.,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"XXVI,209"
formato,16.5
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-17 00:00:00
n_scheda,23087
segnatura,LE
noName,"0,79"
cod_sez,LE
n_s_sez,0
autore,"JONSON, BEN"
titolo,VOLPONE. TESTO RIVEDUTO CON VERSIONE A FRONTE; INTRODUZIONE E NOTE A CURA DI MARIO PRAZ
collabor,"PRAZ MARIO,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"XLIII,313"
formato,16.5
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-17 00:00:00
n_scheda,23086
segnatura,LE
noName,"0,78"
cod_sez,LE
n_s_sez,0
autore,"SHAKESPEARE, WILLIAM"
collabor,"CHIARINI C.,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1939
volume,2025-01-01 00:00:00
pagine,"XXXVII,243"
formato,16.5
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-17 00:00:00
n_scheda,23085
segnatura,LE
noName,"0,70"
cod_sez,LE
n_s_sez,0
autore,"SCHULZ, HANS ; SUNDERMEYER, WILHELM"
collabor,THIES BERNHARD
edizione,"V,AUFLAGE"
luogo_pub,BERLIN
editore,DEUTSCHEN INSTITUTS FUR AUSLANDER
data_pub,COPYRIGHT 1936
volume,2025-01-01 00:00:00
pagine,"X,228"
formato,22
note_sp,IN TESTA FRONT.: SCHRIFTEN DES DEUTSCHEN...
data_crea,2000-01-17 00:00:00
n_scheda,23084
segnatura,SP
noName,"17,257"
cod_sez,SP
n_s_sez,17
autore,"SALDARINI, GIOVANNI, CARD. ARCIV. DI TORINO"
luogo_pub,TORINO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,116
formato,20
note_sp,SPIRITUALITA` SENZA FRONTIERE
cod_isbn,88-315-1482-2
data_crea,2000-01-17 00:00:00
n_scheda,23083
segnatura,X A
noName,",IV/73"
cod_sez,AR
n_s_sez,0
collabor,"STALLA PIETRO,SAC. [A CURA DI]"
luogo_pub,ALBENGA (SV)
editore,TIPOLITOGRAFIA FR.LLI STALLA
data_pub,1999
volume,2025-01-01 00:00:00
pagine,79
illustr,ILL. [A COL.]
formato,24
note_sp,FOTOGRAFIE DI GUIDO FURLANI E FLAVIO FURLANI
data_crea,1999-12-30 00:00:00
n_scheda,23082
segnatura,S 1
noName,"9,21"
cod_sez,S
n_s_sez,19
autore,"GAISSINOVITCH, A."
collabor,"WELTER G.,TRAD."
luogo_pub,PARIS
editore,PAYOT
data_pub,1938
volume,2025-01-01 00:00:00
pagine,240
illustr,1 CARTINA
formato,22.5
note_sp,PREF. DE G. WELTER; IN TESTA FRONT.: BIBLIOTHEQUE
data_crea,1999-12-30 00:00:00
n_scheda,23081
segnatura,LE
noName,"10,91"
cod_sez,LE
n_s_sez,10
autore,"SOLZENITSYN, ALEKSANDR"
luogo_pub,ROMA
editore,I NOBEL LETTERARI EDITRICE
data_pub,1970
volume,2025-01-01 00:00:00
pagine,187
formato,20
note_sp,"A. SOLZENITSYN, PREMIO NOBEL 1970"
data_crea,1999-12-30 00:00:00
n_scheda,23080
segnatura,LE
noName,"10,90"
cod_sez,LE
n_s_sez,10
autore,"SOLZENITSYN, ALEKSANDR"
collabor,"ZVETEREMICH P.,TRAD."
edizione,VIII
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,744
formato,20
note_sp,SCRITTORI ITALIANI E STRANIERI
data_crea,1999-12-30 00:00:00
n_scheda,23079
segnatura,LE
noName,"10,89"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, ALEKSEJ"
luogo_pub,FIRENZE
editore,A. SALANI
data_pub,1939
volume,2025-01-01 00:00:00
pagine,434
formato,15.5
data_crea,1999-12-30 00:00:00
n_scheda,23078
segnatura,LE
noName,"0/68,I"
cod_sez,LE
n_s_sez,0
autore,"SOLZENICYN, ALEKSANDR"
titolo,"ARCIPELAGO GULAG, 1918-1956. SAGGIO DI INCHIESTA NARRATIVA; I-II [COLL.]"
collabor,"OLSUFIEVA MARIA,TRAD."
edizione,II
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,607
illustr,ILL.
formato,20
note_sp,"OP. DOPPIA, DIVERSA ED.; DELLA PRES. OP. MANCA IL"
data_crea,1999-12-29 00:00:00
n_scheda,23077
segnatura,LE
noName,"0/67,II"
cod_sez,LE
n_s_sez,0
autore,"SOLZENICYN, ALEKSANDR"
collabor,"OLSUFIEVA MARIA,TRAD."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,688
illustr,ILL.
formato,20
note_sp,"SAGGI,69 [COLL.]"
data_crea,1999-12-29 00:00:00
n_scheda,23076
segnatura,LE
noName,"0/67,I (I-II)"
cod_sez,LE
n_s_sez,0
autore,"SOLZENICYN, ALEKSANDR"
collabor,"OLSUFIEVA MARIA,TRAD."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1974
volume,2025-02-01 00:00:00
pagine,607
illustr,ILL.
formato,20
note_sp,"SAGGI,58 [COLL.]"
data_crea,1999-12-29 00:00:00
n_scheda,23075
segnatura,LE
noName,"10,83"
cod_sez,LE
n_s_sez,10
autore,"DOSTOJEVSKIJ, FJODOR"
collabor,"RESNEVIC O.,TRAD."
luogo_pub,FIRENZE
editore,LA VOCE
data_pub,1921
volume,2025-01-01 00:00:00
pagine,121
formato,19.5
note_sp,"IN TESTA FRONT.: QUADERNI DE ""LA VOCE"", RACCOLTI D"
data_crea,1999-12-29 00:00:00
n_scheda,23074
segnatura,LE
noName,"10,82"
cod_sez,LE
n_s_sez,10
autore,"DOSTOJEVSKIJ, FJODOR"
collabor,"GASTOVINSKI L.,TRAD."
luogo_pub,MILANO
editore,BIETTI
data_pub,1930
volume,2025-01-01 00:00:00
pagine,"4 F.P.,256"
formato,19.5
data_crea,1999-12-29 00:00:00
n_scheda,23073
segnatura,LE
noName,"10,81"
cod_sez,LE
n_s_sez,10
autore,"DOSTOJEVSKIJ, FJODOR"
collabor,D'ANDRIA [TRAD. A CURA DELLA DUCHESSA]
edizione,"I, II RISTAMPA"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1952
volume,2025-01-01 00:00:00
pagine,399
formato,18
data_crea,1999-12-29 00:00:00
n_scheda,23072
segnatura,LE
noName,"10,80"
cod_sez,LE
n_s_sez,10
autore,"DOSTOJEVSKIJ, FJODOR"
collabor,"DE GAVARDO-CARAFA V.,TRAD."
luogo_pub,CATANIA
editore,PAOLINE
data_pub,1960
volume,2025-01-01 00:00:00
pagine,812
illustr,ILL. [FUORI TESTO]
formato,21
data_crea,1999-12-29 00:00:00
n_scheda,23071
segnatura,LE
noName,"10,79"
cod_sez,LE
n_s_sez,10
autore,"DOSTOJEVSKIJ, FJODOR"
collabor,"VILLA A.,TRAD."
luogo_pub,MILANO
editore,A. PALAZZI
data_pub,1958
volume,2025-01-01 00:00:00
pagine,782
formato,24
note_sp,ED. SU LICENZA DELL'EDITORE G. EINAUDI DI TORINO
data_crea,1999-12-29 00:00:00
n_scheda,23070
segnatura,LE
noName,"10,78"
cod_sez,LE
n_s_sez,10
autore,"PUSKIN, ALEKSANDR"
collabor,"GINSBURG L.,TRAD."
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,COPYRIGHT 1949
volume,2025-01-01 00:00:00
pagine,353
formato,17
note_sp,PICCOLA BIBLIOTECA SCIENTIFIC0-LETTERARIA
data_crea,1999-12-29 00:00:00
n_scheda,23069
segnatura,LE
noName,"10,77"
cod_sez,LE
n_s_sez,10
autore,"PUSKIN, ALEKSANDR"
edizione,II
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1945
volume,2025-01-01 00:00:00
pagine,"X,133"
formato,18
note_sp,UNIVERSALE EINAUDI
data_crea,1999-12-29 00:00:00
n_scheda,23068
segnatura,LE
noName,"10,76"
cod_sez,LE
n_s_sez,10
autore,"PUSKIN, ALEKSANDR"
collabor,"LO GATTO E.,TRAD."
edizione,III
luogo_pub,MILANO
editore,MURSIA & C. / CORTICELLI
data_pub,1959
volume,2025-01-01 00:00:00
pagine,255
formato,20
note_sp,"LE ORE, NARRATORI ITALIANI E STRANIERI"
data_crea,1999-12-29 00:00:00
n_scheda,23067
segnatura,LE
noName,"10,75"
cod_sez,LE
n_s_sez,10
autore,"PIASECKI, SERGIUSZ"
collabor,BOCCA RAKOMSKA E. / GALEAZZO SEVERI G. [TRAD. A CURA DI]
edizione,"V, RISTAMPA"
luogo_pub,MILANO
editore,MONDADORI
data_pub,1945
volume,2025-01-01 00:00:00
pagine,387
formato,19.5
note_sp,MEDUSA
data_crea,1999-12-29 00:00:00
n_scheda,23066
segnatura,LE
noName,"10,74"
cod_sez,LE
n_s_sez,10
autore,"PASTERNAK, BORIS L."
collabor,"ZVETEREMICH P.,TRAD."
edizione,XXVIII
luogo_pub,MILANO
editore,FELTRINELLI
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,717
formato,20
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,1999-12-29 00:00:00
n_scheda,23065
segnatura,LE
noName,"10,73"
cod_sez,LE
n_s_sez,10
autore,"PASTERNAK, BORIS L."
collabor,"ZVETEREMICH P.,TRAD."
edizione,XLIII
luogo_pub,MILANO
editore,FELTRINELLI
data_pub,COPYRIGHT 1960
volume,2025-01-01 00:00:00
pagine,717
formato,20
data_crea,1999-12-29 00:00:00
n_scheda,23064
segnatura,LE
noName,"10,70"
cod_sez,LE
n_s_sez,10
autore,"CECHOV, ANTON"
titolo,RACCONTI I NO
collabor,"VILLA AGOSTINO,TRAD."
luogo_pub,MILANO
editore,A. PALAZZI
data_pub,1959
volume,2025-01-01 00:00:00
pagine,964
formato,24
note_sp,PREF. DI G. VIGORELLI; ED. SU LICENZA DELL'EDITORE
data_crea,1999-12-29 00:00:00
n_scheda,23063
segnatura,LE
noName,"10,69"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,SESTO S. GIOVANNI (MI)
editore,EDITRICE MADELLA
data_pub,1915
volume,2025-01-01 00:00:00
pagine,191
formato,17
data_crea,1999-12-29 00:00:00
n_scheda,23062
segnatura,LE
noName,"10/68,II"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"CARAFA D'ANDRIA E.,TRAD."
edizione,II
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1943
volume,2025-02-02 00:00:00
pagine,"6 F.P.,711"
formato,22
note_sp,NARRATORI STRANIERI TRADOTTI
data_crea,1999-12-29 00:00:00
n_scheda,23061
segnatura,LE
noName,"10/68,I (I-II)"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"CARAFA D'ANDRIA E.,TRAD."
edizione,II
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,"X,693"
formato,22
note_sp,NARRATORI STRANIERI TRADOTTI
data_crea,1999-12-29 00:00:00
n_scheda,23060
segnatura,LE
noName,"10,67"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,NAPOLI
editore,S. ROMANO
data_pub,S.D.
volume,2025-01-01 00:00:00
pagine,256
formato,19.5
data_crea,1999-12-29 00:00:00
n_scheda,23059
segnatura,LE
noName,"10,66"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,SESTO S. GIOVANNI-MILANO
editore,MADELLA & C.
data_pub,1932
volume,2025-01-01 00:00:00
pagine,158
formato,19
data_crea,1999-12-29 00:00:00
n_scheda,23058
segnatura,LE
noName,"10,65"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"ZALAPY LUIGI E.,TRAD."
luogo_pub,SESTO S. GIOVANNI-MILANO
editore,A. BARION
data_pub,1930
volume,2025-01-01 00:00:00
pagine,172
formato,19
data_crea,1999-12-29 00:00:00
n_scheda,23057
segnatura,LE
noName,"10,61"
cod_sez,LE
n_s_sez,10
autore,"GORKJ, MARSIM"
luogo_pub,SESTO S. GIOVANNI (MI)
editore,MADELLA & C.
data_pub,1930
volume,2025-01-01 00:00:00
pagine,299
formato,19
data_crea,1999-12-29 00:00:00
n_scheda,23056
segnatura,LE
noName,"10,59"
cod_sez,LE
n_s_sez,10
autore,"KOVACS, IMRE"
collabor,"ZAMBONINI F.,TRAD."
luogo_pub,ROMA
editore,PIA SOC. S. PAOLO
data_pub,1956
volume,2025-01-01 00:00:00
pagine,416
formato,18
note_sp,GLI OPERAI DELLA VIGNA [COLL.]
data_crea,1999-12-29 00:00:00
n_scheda,23055
segnatura,LE
noName,"10,58"
cod_sez,LE
n_s_sez,10
autore,"KRASSNOFF, P. N."
luogo_pub,FIRENZE
editore,A. SALANI
data_pub,1920
volume,2025-01-01 00:00:00
pagine,342
illustr,ANT. [A COL.]
formato,18.5
data_crea,1999-12-29 00:00:00
n_scheda,23054
segnatura,LE
noName,"10,57"
cod_sez,LE
n_s_sez,10
autore,"KRAVCHENKO, VICTOR"
collabor,"DALLARI C.,TRAD."
luogo_pub,MILANO
editore,LONGANESI & C.
data_pub,1948
volume,2025-01-01 00:00:00
pagine,862
formato,18.5
note_sp,IL MONDO NUOVO
data_crea,1999-12-29 00:00:00
n_scheda,23053
segnatura,LE
noName,"10,56"
cod_sez,LE
n_s_sez,10
autore,"KRASSNOFF, P. N."
luogo_pub,PARIS
editore,PAYOT
data_pub,1926
volume,2025-01-01 00:00:00
pagine,655
formato,19.5
note_sp,ROMAN TRADUIT DU RUSSE
data_crea,1999-12-29 00:00:00
n_scheda,23052
segnatura,LE
noName,"10,55"
cod_sez,LE
n_s_sez,10
autore,"KUPRIN, ALEKSANDR I."
collabor,LO GATTO E. / DAMIANI E. [A CURA DI]
luogo_pub,ROMA
editore,DE CARLO
data_pub,COPYRIGHT 1945
volume,2025-01-01 00:00:00
pagine,559
formato,21.5
note_sp,PREF. DI ETTORE LO GATTO
data_crea,1999-12-29 00:00:00
n_scheda,23051
segnatura,LE
noName,"10,54"
cod_sez,LE
n_s_sez,10
autore,"BUNIN, IVAN"
collabor,RACOVSKA K. / CATALANO S. [TRAD. A CURA DI]
edizione,II
luogo_pub,MILANO
editore,EDIZIONI DELTA
data_pub,1929
volume,2025-01-01 00:00:00
pagine,291
formato,16.5
note_sp,SCRITTORI ITALIANI E STRANIERI
data_crea,1999-12-29 00:00:00
n_scheda,23050
segnatura,LE
noName,"10,53"
cod_sez,LE
n_s_sez,10
autore,"TURGENEV, IVAN"
collabor,"ROSI LORENZO,TRAD."
luogo_pub,ROMA
editore,G. CASINI
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,238
formato,18
note_sp,I LIBRI DEL SABATO
data_crea,1999-12-29 00:00:00
n_scheda,23049
segnatura,LE
noName,"10,52"
cod_sez,LE
n_s_sez,10
autore,"HASCEK, IAROSLAV"
