field,value
pagine,"18 F.P.,398"
formato,18.5
note_sp,PREF. DI A. RHO
data_crea,2000-01-21 00:00:00
n_scheda,23147
segnatura,LE
noName,"6,41"
cod_sez,LE
n_s_sez,6
autore,"KAFKA, FRANZ"
collabor,"SPAINI A.,TRAD."
edizione,I/ V RISTAMPA
luogo_pub,TORINO
editore,FRASSINELLI
data_pub,1951
volume,2025-01-01 00:00:00
pagine,"26 F.P.,338"
formato,18.5
note_sp,PREF. DI A. SPAINI
data_crea,2000-01-21 00:00:00
n_scheda,23146
segnatura,LE
noName,"6,40"
cod_sez,LE
n_s_sez,6
autore,"KAFKA, FRANZ"
titolo,AMERICA E CONCESSIONE DELL'ED. A. MONDADORI
collabor,"SPAINI A.,TRAD."
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,1945
volume,2025-01-01 00:00:00
pagine,"XII,205"
formato,21.5
note_sp,NARRATORI STRANIERI TRADOTTI; QUESTA ED. VIENE PUB
data_crea,2000-01-21 00:00:00
n_scheda,23145
segnatura,LE
noName,"6,39"
cod_sez,LE
n_s_sez,6
autore,"FEDERICO II, RE DI PRUSSIA"
titolo,"L'ANTIMACHIAVELLI; NEL TESTO RIVEDUTO DA VOLTAIRE, CON I CAPITOLI OR I GINALI DEL ""PRINCIPE"", INTERCALATI AI CAPITOLI DELLA CONFUTAZIONE"
collabor,"BEONIO-BROCCHIERI V.,CURAT."
luogo_pub,TORINO
editore,VINCENZO BONA
data_pub,1956
volume,2025-01-01 00:00:00
pagine,"XLV,141"
illustr,TAV.
formato,20.5
note_sp,"FRONT. AGG.: CAPODANNO BONA, 1956 - N. 307"
data_crea,2000-01-21 00:00:00
n_scheda,23144
segnatura,LE
noName,"6,37"
cod_sez,LE
n_s_sez,6
autore,"BRECHT, BERTOLT"
collabor,LEISER R. / FORTINI F. [TRAD. A CURA DI]
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,407
formato,22
data_crea,2000-01-21 00:00:00
n_scheda,23143
segnatura,LE
noName,"6/36,II"
cod_sez,LE
n_s_sez,6
autore,"MUSIL, ROBERT"
collabor,"RHO ANITA,TRAD."
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,COPYRIGHT 1958
volume,2025-02-02 00:00:00
pagine,430
formato,22
data_crea,2000-01-21 00:00:00
n_scheda,23142
segnatura,LE
noName,"6/36,I (I-II)"
cod_sez,LE
n_s_sez,6
autore,"MUSIL, ROBERT"
collabor,"RHO ANITA,TRAD."
luogo_pub,TORINO
editore,G. EINAUDI
data_pub,COPYRIGHT 1957
volume,2025-02-01 00:00:00
pagine,779
formato,22
data_crea,2000-01-21 00:00:00
n_scheda,23141
segnatura,LE
noName,"6,35"
cod_sez,LE
n_s_sez,6
autore,"KIRST, HANS HELLMUT"
collabor,"MERLINI MARIO,TRAD."
edizione,III
luogo_pub,MILANO
editore,GARZANTI
data_pub,1957
volume,2025-01-01 00:00:00
pagine,559
formato,19.5
note_sp,ROMANZI MODERNI GARZANTI
data_crea,2000-01-21 00:00:00
n_scheda,23140
segnatura,LE
noName,"6,34"
cod_sez,LE
n_s_sez,6
autore,"KIRST, HANS HELLMUT"
collabor,"MERLINI MARIO,TRAD."
edizione,III
luogo_pub,MILANO
editore,GARZANTI
data_pub,1956
volume,2025-01-01 00:00:00
pagine,"6 F.P.,419"
formato,19.5
note_sp,ROMANZI MODERNI GARZANTI
